,ICICI_Prudential_Mutual_Fund.csv,Tata_Mutual_Fund.csv,Sundaram_Mutual_Fund.csv,HDFC_Mutual_Fund.csv,SBI_Mutual_Fund.csv,Reliance_Mutual_Fund.csv,Aditya_Birla_Sun_Life_Mutual_Fund.csv,UTI_Mutual_Fund.csv
0,ICICI Prudential Balanced Advantage Fund,Tata Banking And Financial Services Fund,Sundaram CAPEX Opportunities Fund,HDFC ARBITRAGE FUND RETAIL PLAN DIVIDEND OPTION,SBI Arbitrage Opportunities Fund,Reliance Arbitrage Advantage Fund,Aditya BIRLA SUN LIFE ENHANCED ARBITRAGE FUND,TI
1,ICICI Prudential Banking and Financial Services Fund,Tata Contra Fund,Sundaram Energy Opportunities Fund,HDFC ARBITRAGE FUND WHOLESALE PLAN DIVIDEND OPTION,SBI BANKING & FINANCIAL SERVICES FUND,Reliance Banking Fund,Aditya Birla Sun Life Advantage Fund,UTI
2,ICICI Prudential Blended Plan A,Tata Contra Fund Plan A,Sundaram Entertainment Opportunities Fund,HDFC Arbitrage Fund,SBI BLUE CHIP FUND,Reliance Diversified Power Sector Fund,Aditya Birla Sun Life Banking and Financial Services Fund,UTI Banking Sector Fund
3,ICICI Prudential Child Care Plan Gift,Tata Digital India Fund,Sundaram Equity Multiplier,HDFC Capital Builder Fund,SBI CONTRA,Reliance Equity Opportunities  Fund,Aditya Birla Sun Life Buy India Fund,UTI Bluechip Flexicap Fund
4,ICICI Prudential Dividend Yield Equity Fund,Tata Dividend Yield Fund,Sundaram Equity Multiplier Fund,HDFC Core & Satellite Fund,SBI Dynamic Asset Allocation Fund,Reliance Equity Opportunities  Fund Institutional Dividend Plan,Aditya Birla Sun Life Commodity Equities Fund,UTI CCP Advantage Fund
5,ICICI Prudential Dividend Yield Equity Fund,Tata Dividend Yield Fund Regular Plan,Sundaram Equity Plus,HDFC Core and Satellite Fund,SBI EMERGING BUSINESSES FUND,Reliance Equity Opportunities Fund,Aditya Birla Sun Life Dividend Yield Plus,UTI Contra Fund
6,ICICI Prudential Dynamic,Tata Equity Management Fund,Sundaram Financial Services Opportunities Fund,HDFC Equity Fund,SBI Equity Savings Fund,Reliance Equity Savings Fund,Aditya Birla Sun Life Enhanced Arbitrage Fund,UTI Energy Fund
7,ICICI Prudential Dynamic Plan,Tata Equity Management Fund Plan A,Sundaram Financial Services Opportunities Fund Inst,HDFC Equity Savings Fund,SBI FMCG FUND,Reliance Focused Large Cap Fund,Aditya Birla Sun Life Equity Fund,UTI Infrastructure Fund
8,ICICI Prudential Equity,Tata Equity Opportunities Fund,Sundaram Financial Services Opportunities Fund Reg ,HDFC Focused Large,SBI INFRASTRUCTURE FUND,Reliance Growth Fund,Aditya Birla Sun Life Equity Savings Fund,UTI Mid Cap Fund
9,ICICI Prudential Equity Arbitrage Fund,Tata Equity Opportunities Fund Regular Plan,Sundaram Growth Fund,HDFC Growth Fund,SBI IT FUND,Reliance Growth Fund Institutional Plan Dividend Plan,Aditya Birla Sun Life Frontline Equity Fund,UTI Multi Cap Fund
10,ICICI Prudential Equity Income Fund,Tata Equity P/E Fund,Sundaram India Leadership Fund,HDFC INFRASTRUCTURE FUND,SBI MAGNUM GLOBAL FUND,Reliance Index Fund,Aditya Birla Sun Life Index Fund,UTI Opportunities Fund
11,ICICI Prudential Exports and Other Services Fund,Tata Equity P/E Fund Regular Plan,Sundaram Infrastructure Advantage Fund (Erstwhile Sundaram Capex Opportunities) Direct Plan Growth,HDFC Index Fund,SBI Magnum COMMA Fund,Reliance Infrastructure Fund,Aditya Birla Sun Life India Gennext Fund,UTI Pharma & Healthcare Fund
12,ICICI Prudential FMCG Fund,Tata Equity P/E Fund Regular Plan (Dividend Trigger Option A,Sundaram Infrastructure Advantage Fund (Merger of Capex & Energy Opportunities) Direct Plan Dividend,HDFC Index Fund Nifty Plan,SBI Magnum Equity Fund,Reliance Japan Equity Fund,Aditya Birla Sun Life India Opportunities Fund,UTI Services Industries Fund
